Country,Cluster
ALB,0
DZA,0
ARG,0
ARM,0
AUS,2
AUT,0
AZE,0
BHR,0
BGD,0
BLR,0
BEL,0
BOL,0
BIH,0
BRA,2
BGR,0
CAN,2
CHL,0
CHN,1
COL,0
CRI,0
HRV,0
CYP,0
CZE,0
DNK,0
DOM,0
ECU,0
EGY,0
EST,0
FIN,0
FRA,2
GEO,0
DEU,3
GRC,0
GTM,0
HND,0
HUN,0
ISL,0
IND,2
IDN,2
IRN,0
IRQ,0
IRL,0
ISR,0
ITA,2
JPN,3
JOR,0
KAZ,0
KEN,0
KWT,0
LVA,0
LBN,0
LTU,0
MYS,0
MLT,0
MEX,2
MNE,0
MAR,0
NAM,0
NPL,0
NLD,0
NZL,0
NGA,0
MKD,0
NOR,0
OMN,0
PAK,0
PAN,0
PRY,0
PER,0
PHL,0
POL,0
PRT,0
QAT,0
ROU,0
RUS,2
SAU,0
SRB,0
SGP,0
SVK,0
SVN,0
ZAF,0
ESP,2
LKA,0
SWE,0
CHE,0
THA,0
TTO,0
TUN,0
TUR,0
UKR,0
ARE,0
GBR,2
URY,0
UZB,0
VEN,0
